145353048817012736|thinks that *NAME* had a great 50th birthday party|surprise
144279638024257536|como una expresión tan simple, una sola oración, puede llegara dañarte tanto.|sadness
140499585285111809|the moment when you get another follower and you cheer.|joy
145207578270507009|be the greatest dancer of your life! practice daily positive habits. fun freedom habits|joy
139502146390470656|eww. my moms starting to make her annual rum cake for the whole ramdyalally family. fml fml fml the smelll.|disgust
146042696899887106|If ur heart hurts all the time for tht person something isn't right where's the|joy
145492569609084928|I feel awful, and it's way too freaking early. now off to leadership highschool.|joy
145903955229151232|so chuffed for safc fans! bet me dar comes in mortz from the match|joy
142717613234069504|making art and viewing art are different at their core!|fear
144183822873927680|soooo dooowwwn! move on, get some sleep. me deserve better. forget it yawning|anger
145959995803058177|"we're sorry, but the clip you selected isn't available from your location. please select another clip." no I refuse.|sadness
142918097010036736|een ware sint "inen uittocht" achter de rug; winkel In, winkel uIt, winkel In, winkel uIt!|surprise
142186403223179264|people know they can pull you down and they dont give a care|surprise
145703538276843520|my heart and soul *NAME* is leaving me and I can't even see here|sadness
145947752709369857|chips and curry sauce|joy
138958921875464194|soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal !|anger
146160423807361024|oh and off to work till midnight .|joy
139119971073658880|I have a package at the post office. can't think what could be in it. I don't remember internet shopping while drinking.|surprise
139925034377547776|*NAME* bahahahaha so many things i could say.*NAME* I just shit my pants. pure 100% gravy.|joy
145965434397659136|*NAME* morning oh what a bad episode to come in towards the end. and only 1 more episode?|sadness
140532742201950210|large crowds of manic football fans mascots|fear
145880837525733376|there is no concrete equation for joy. you can't explain how to get in your life.|joy
145160038745513985|I don't need present's of king's but just just to be in the presence of the king peace pleasures forevermore|joy
140507961532493825|all my battles r surely handled properly never by me . it feels so good|joy
142739020919750657|bringing my cousin his friend to jingle jam they get to see drake i dontt ? f ml|joy
145781619024859136|nobody up worth talking too so back to sleep I try to go!|joy
144278865152458752|even if you're bad at something, i cant knock you if you try. 12 the time, those ppl are the 1s that love it the most. don't kill their|joy
138659624336359425|someone on my high school football team is also called moriarty.|fear
142458117123354625|I just absolutely lost my mind.|anger
140838134781980672|christmas lights? check! now its time to decorate inside.|joy
142198183802585088|obscura, de app van *NAME* is awesome. zowel *NAME* als ik stonden daardoor al op de homepage van la fille d'o.|joy
136982541512089602|my earlier tweet should've said "I sometimes think I'm the youngest person."|anger
143143084090335232|working on this third drink tho. someone is tryna challenge me to a cook off. they've already|sadness
138658378867159040|sounds awful but alot of people are dying recently|sadness
139780150119239680|getting ready to spend time with fam and is what life Is all about|joy
141530438123532289|group meeting 1.5 hours early. can't wait to present today and rid myself from this bitch. suit and tie|joy
145632383813693440|is to do calc problems.that has been my life for the last 3 hours and will be for the rest of the night|joy
141391365065031680|feeling left out. I guess I always have my boyfriend.|sadness
138342037064908800|*NAME* fucks. me. off. Its like. bitch. this is my ultimate favourite song and you're saying whereeber?! hahahaha xx|anger
145994368979976192|*NAME* I believe you've just got on to a hypothetical highway that may be leading to the danger zone. mad|anger
139400791927689216|so shall they fear the name of the lord from the west, and his glory from the rising of the sun. 5919 kjv glory god|fear
140226781176283136|decemeber 17th! come on, good night, cant wait|surprise
144623358259101696|I only have two class periods left with my favorite teacher.|sadness
145566538978701312|stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck|anger
139921771632660480|been awake since 430am. too tired for black friday fun.|sadness
145368617398185984|*NAME* when u get a chance u should leave that piece out for 10 min then turn the lights out|surprise
143563167241469952|*NAME* I would feel obligated if you knew when it happened. It's all about the element of|surprise
141933701335490560|my biggest is loosing you, so please don't make me ever face that fear. you have no absolutely no idea how much you mean to me.|fear
144836567297572864|*NAME* thanks, but I think a puck to the eye means he probably will stay clear of the garden.|sadness
145776565719011328|father forgive me for my and help me live boldly in your truth glory of the cross|fear
141555982517022720|I can't believe I'm saying this but room 112 by 112 is a big ass simp album.|sadness
145713130792689664|waiting for the start of from *NAME*. the return of super dragon will be a great night!|fear
145316502327930882|they're playing manchester orchestra in between acts.hey allston pudding, I really would have liked to go to that concert.|anger
144358494106157056|sometimes I just sit back and observe things|surprise
140086806518566912|guess I better start my psychology paper that's due monday.|joy
140224172793139200|literally haven't seen the sun in a week and it's finally coming out!|joy
144933426112372736|since this is the season to give I'm giving god my problems 4 solutions, sickness 4 healing, insecurity 4 a touch of hIs garment!|joy
138741330728849408|now for the painful walk downstairs|joy
143625006801362944|fantastIc. my amazing memory saves the day again! now I can sleep in tomorrow|joy
139949715830734848|naubusan kami ng slot sa 5k ng mIlo marathon ||sadness
141072441320542208|people are more likely to die in hospital at the weekend?|fear
144840456730181632|can honestly say, don't think I've ever done so shit in an exam before|joy
140571837783482369|barca 5saraaaw atat 5saaraawwww ya shamaataatiii fehoom madrid today fayzen w barca finally fell xd|joy
142056399713746944|*NAME* haha nah. for the most part im done skating for the season unless we get some really nice days. It's just to cold.|sadness
139225000040349696|If nobody makes plans by tomorrow morning, I'm gonna finally watch all those svu episodes crowding my dvr.|sadness
146218967701262337|the world didnt give it and the world cant take it away|joy
144498295501361154|time to start this research paper|joy
140118876930310144|history wasn't so bad! now the last exam on tuesday! and that would be n.s!|joy
144704870602129409|ready to knock some1 out before 9.05am today|joy
144413013242413056|*NAME* celebrating your birthday droppin a new album? livin life wmad style ; happy birthday! xoxo success|joy
142934221370040320|I have learned to be content in any situation I thank god for peace that surpasses all understanding|joy
144179265854914560|just had possibly the most awkward conversation in my life.|joy
140184740526432256|staging environment. private server. logged in to backend cms. opening the frontend in new window. too many connections. wtf?|sadness
140960606982389760|soooooo. yeah, I think I'm gonna start posting my newest fan fiction. I was gonna wait till I was finish, but I'm excited. d|joy
144835453416247296|gotta take a customer out for dinner tonight. not|joy
145511642598346752|"In your do not s in do not let the sun go down while you are still angry, and do not gIve the dev I l a foothold." ephesians 426|anger
142868257500704768|sleepy time. cant wait to work with *NAME* tomorrow, considering her days are numbered dont wanna think about it|sadness
139312360811802625|*NAME* I'm also putting off getting an eye test as I know ill need glasses!|fear
141785574506897408|“*NAME* jon bought me a luffly radley purse yesterday *NAME*” very nice, lucky you! x|joy
